,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0
0.0010175517845532806,1.0,1.0,1.0,1.0,0.995,1.0,0.995,0.985,0.995,1.0
0.027741674968347334,1.0,0.99,0.91,0.8300000000000001,0.985,0.07,0.995,0.045,0.985,1.0
0.054465798152141386,1.0,1.0,0.995,0.15,0.84,0.99,0.11,0.055,0.025,0.065
0.08118992133593544,1.0,0.6950000000000001,1.0,0.08,1.0,0.975,0.08,0.03,0.04,0.13
0.1079140445197295,1.0,1.0,0.04,0.995,0.995,0.015,0.03,0.99,0.08,1.0
0.13463816770352355,1.0,0.03,1.0,0.26,0.02,0.875,0.97,0.035,1.0,0.03
0.1613622908873176,0.995,0.995,0.035,0.025,0.025,0.035,0.02,0.015,0.02,0.99
0.18808641407111165,1.0,0.99,0.97,0.07,0.905,0.05,0.015,0.995,0.01,1.0
0.2148105372549057,1.0,1.0,0.295,0.01,0.015,0.04,0.02,1.0,0.015,0.015
0.24153466043869976,1.0,0.03,0.98,1.0,0.015,0.995,0.025,0.01,1.0,0.015
0.2682587836224938,1.0,0.995,1.0,0.91,0.995,1.0,0.02,0.02,0.01,0.01
0.29498290680628786,0.985,0.135,0.07,0.17500000000000002,0.02,0.02,1.0,0.01,0.995,0.01
0.32170702999008194,0.99,0.015,0.045,1.0,0.005,0.015,0.015,0.01,0.01,0.005
0.34843115317387596,0.985,0.015,1.0,1.0,0.015,0.02,0.005,0.03,1.0,0.01
0.37515527635767004,0.985,0.085,0.01,0.04,0.005,0.37,0.03,0.02,0.015,0.01
0.4018793995414641,0.975,0.035,0.01,0.02,0.005,0.02,0.015,0.005,0.01,0.055
0.4286035227252581,0.975,0.025,0.04,0.01,0.02,0.01,0.015,0.005,0.01,1.0
0.45532764590905217,0.96,0.185,0.015,0.015,0.01,0.005,1.0,0.025,0.005,0.005
0.48205176909284625,0.965,0.01,0.015,0.015,0.005,0.005,0.01,0.005,0.995,0.015
0.5087758922766403,0.97,0.995,0.02,0.025,0.02,0.02,0.015,1.0,0.015,0.015
